country,year,forest_area,adjusted_nni,inflation
Mauritius,2015,19.18,10936,1.29
Mexico,2015,34.12,929231,2.72
Mongolia,2015,9.1,9094,5.74
Montenegro,2015,61.49,3758,1.55
Netherlands,2015,10.84,635223,0.6
New Zealand,2015,37.4,145954,0.29
Nicaragua,2015,32.47,11060,4.0
Norway,2015,33.25,316615,2.17
Oman,2015,0.01,44665,0.07
Panama,2015,57.62,47451,0.14
Paraguay,2015,44.04,31829,3.13
Poland,2015,30.77,403951,-0.87
Qatar,2015,0.0,122590,1.81
Romania,2015,29.99,142843,-0.59
Russian Federation,2015,49.76,1086804,15.53
Serbia,2015,31.09,32536,1.39
Seychelles,2015,73.26,1121,4.04
Singapore,2015,23.23,240438,-0.52
Slovenia,2015,61.96,32798,-0.53
South Africa,2015,14.21,287459,4.54
Spain,2015,37.13,1002036,-0.5
Sri Lanka,2015,34.4,72900,3.77
Suriname,2015,97.77,4227,6.89
Sweden,2015,68.69,424945,-0.05
